X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
172.459,-43.6472,train,0.001203165877354143,62.011401661961095,0.680184297837371
175.334,-37.802,train,5.0103220474518E-4,41.44327512507934,0.4696816593220001
-71.478,-37.3813,train,4.639120425467541E-4,39.53798000722089,0.4505626217691514
149.083,-35.264,train,0.002776734492536969,91.81277593601635,0.8307480559231593
18.428,-33.988,train,9.831074723838029E-4,57.657324463238666,0.6347445681201314
19.452,-33.614,train,7.345474887966449E-4,50.529347278563534,0.5649219018367436
150.4667,-31.25,train,2.5666979647232226E-5,3.2047480625676106,0.04340159894902173
150.98938,-31.123731,train,2.6706247112490714E-4,27.093621296595895,0.3206883778289868
26.213,-29.053,train,7.428953294941142E-4,51.108303820050835,0.5676973338981331
27.99755,-26.18257,train,4.445044359550237E-4,38.330737871804025,0.44000724097725175
27.842,-26.092,train,4.8602538560250225E-4,40.70054877637536,0.46211479039917885
34.998,-2.831,train,4.49395618012921E-5,5.320500351887705,0.07359228837252656
37.09,-0.35,train,2.017596116573165E-4,21.283117001420454,0.2628872258996703
-78.502,0.022,train,8.3485731409995E-5,9.796701293282803,0.12859745996447755
-97.73,30.29,train,7.180884324285472E-4,49.83452284005281,0.5593439702421281
73.02,31.23,train,2.189418478404003E-4,22.671084195311057,0.27902832622162227
71.05,32.08,train,2.5381225987419276E-4,25.950789051309258,0.30970520651477806
34.95073,32.136913,train,1.214274268278744E-4,13.674839026432984,0.17671328898432268
72.43,32.55,train,9.571054638094123E-5,11.18951929984334,0.1447031487186819
-117.246478,32.698353,train,4.299767923614175E-4,37.5257955705267,0.4318366758368218
-117.053185,32.75782,train,6.604674363039662E-4,47.80135396931059,0.5386366008933567
72.68128,32.939583,train,1.6954122007051384E-4,18.261823644733166,0.2305875382928404
-117.248,32.974,train,0.0010747079301689033,59.41374193826337,0.6551402464364516
-116.601,33.115,train,4.1177857166045634E-4,36.512542807156926,0.42125906368191
-116.785,33.12,train,1.746943402275687E-4,18.727379561355306,0.23594250577275874
73.12,33.33,train,2.1342075585535904E-4,22.158795849861505,0.27391940355811545
73.0763,33.6863,train,1.861875129930956E-4,19.815836335518295,0.24762145287724846
-96.834,33.882,train,1.340266228207396E-4,15.002073058886618,0.19153694834285992
