Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.50252E-4,16.505056831,0.209858576,0.133642781,0.11815562,0
1.52776E-4,16.762931779,0.212634254,0.13199884,0.11815562,0
1.5533E-4,17.009453986,0.215423315,0.1304516,0.11815562,0
1.57975E-4,17.260520949,0.218290672,0.128904361,0.121037464,0
1.61369E-4,17.500335926,0.22193927,0.127453825,0.126801153,0
1.64126E-4,17.760303753,0.22487833,0.125906585,0.129682997,0
1.67282E-4,18.009196337,0.228216544,0.124456049,0.132564841,0
1.69541E-4,18.261805072,0.230587538,0.123005512,0.132564841,0
1.72385E-4,18.501822929,0.233551455,0.121651678,0.13832853,0
1.75055E-4,18.762605728,0.236314934,0.120201141,0.141210375,0
1.7755E-4,19.009254444,0.238877641,0.118847307,0.141210375,0
1.80383E-4,19.2596518,0.24176787,0.117493473,0.144092219,0
1.83178E-4,19.514612477,0.244597907,0.116139638,0.144092219,0
1.85682E-4,19.754464864,0.247115452,0.114882507,0.149855908,0
1.87835E-4,20.015848409,0.24926598,0.113528672,0.155619597,0
1.90045E-4,20.261470858,0.251461501,0.11227154,0.155619597,0
1.93326E-4,20.510216105,0.254697746,0.111014409,0.161383285,0
1.97214E-4,20.764310156,0.258495714,0.109757277,0.161383285,0
2.00111E-4,21.002651659,0.261300795,0.108596848,0.16426513,0
2.01479E-4,21.263566737,0.262617375,0.107339716,0.16426513,0
2.0498E-4,21.507482034,0.265967569,0.106179286,0.167146974,0
2.07716E-4,21.755055397,0.268563448,0.105018857,0.167146974,0
2.11584E-4,22.007035297,0.272203498,0.103858428,0.170028818,0
2.14677E-4,22.262592065,0.275088184,0.102697998,0.178674352,0
2.1704E-4,22.500062156,0.277276868,0.101634271,0.178674352,0
2.19961E-4,22.762730581,0.279963205,0.100473842,0.187319885,0
2.22052E-4,23.006062135,0.281874626,0.099410115,0.190201729,0
2.23998E-4,23.251459689,0.283644435,0.098346388,0.198847262,0
2.25749E-4,23.521409428,0.285229418,0.097185959,0.201729107,0
2.26912E-4,23.770393497,0.286277826,0.096122232,0.201729107,0
2.29366E-4,24.021106887,0.288480937,0.095058505,0.204610951,0
2.3096E-4,24.251430908,0.289904602,0.094091481,0.207492795,0
2.35011E-4,24.508211981,0.293496664,0.093027754,0.207492795,0
2.39545E-4,24.769694067,0.297474947,0.091964027,0.21037464,0
