Predictor variable,Categorical,Sample average
bio14,false,37.6657060518732
bio2,false,9.264341409336936
bio3,false,31.83651369518093
bio8,false,11.965401728661671
bio9,false,3.7032598280361304
cd,false,6.219020172910663
elevation,false,372.8876080691643
hii,false,29.685878962536023
humidity,false,0.9135785491476829
lulc,false,13.135446685878962
solar_radiation,false,12088.12822659627
wind_speed,false,3.843367797153484
