variable,x,y
bio8,-76.52420616149902,4.320926835765761E-18
bio8,-76.40056320953369,4.864417763100445E-18
bio8,-76.27692025756836,5.4079086904350655E-18
bio8,-76.15327730560303,6.08585346561118E-18
bio8,-76.02963435363769,6.763798240787293E-18
bio8,-75.90599140167237,7.608914251096544E-18
bio8,-75.78234844970703,8.454030261405891E-18
bio8,-75.65870549774169,9.506831475622531E-18
bio8,-75.53506254577637,1.0559632689839051E-17
bio8,-75.41141959381103,1.1870321001022014E-17
bio8,-75.28777664184571,1.3181009312204822E-17
bio8,-75.16413368988037,1.4811557475701704E-17
bio8,-75.04049073791504,1.6442105639198583E-17
bio8,-74.91684778594971,1.8469263712957888E-17
bio8,-74.79320483398438,2.0496421786717424E-17
bio8,-74.66956188201904,2.3014966466461176E-17
bio8,-74.54591893005372,2.5533511146204642E-17
bio8,-74.42227597808838,2.8660557921015285E-17
bio8,-74.29863302612304,3.178760469582593E-17
bio8,-74.17499007415772,3.5667325049550926E-17
bio8,-74.05134712219238,3.954704540327636E-17
bio8,-73.92770417022705,4.4357500386325253E-17
bio8,-73.80406121826172,4.9167955369373597E-17
bio8,-73.68041826629639,5.512841631369068E-17
bio8,-73.55677531433105,6.108887725800775E-17
bio8,-73.43313236236573,6.846955144204641E-17
bio8,-73.30948941040039,7.585022562608595E-17
bio8,-73.18584645843507,8.49828026689771E-17
bio8,-73.06220350646973,9.411537971186933E-17
bio8,-72.93856055450439,1.054084143195333E-16
bio8,-72.81491760253907,1.16701448927196E-16
bio8,-72.69127465057373,1.3065662271530398E-16
bio8,-72.5676316986084,1.4461179650341197E-16
bio8,-72.44398874664307,1.6184566749426855E-16
bio8,-72.32034579467773,1.790795384851271E-16
bio8,-72.1967028427124,2.003467892597997E-16
bio8,-72.07305989074707,2.2161404003446985E-16
bio8,-71.94941693878174,2.4784168000450804E-16
bio8,-71.8257739868164,2.740693199745462E-16
bio8,-71.70213103485108,3.063925772056846E-16
bio8,-71.57848808288574,3.3871583443682675E-16
bio8,-71.4548451309204,3.785259337823776E-16
bio8,-71.33120217895508,4.1833603312792375E-16
bio8,-71.20755922698974,4.673311096709056E-16
bio8,-71.08391627502442,5.163261862138817E-16
bio8,-70.96027332305908,5.765864476438907E-16
bio8,-70.83663037109375,6.368467090738998E-16
bio8,-70.71298741912842,7.10912437747211E-16
bio8,-70.58934446716309,7.849781664205307E-16
bio8,-70.46570151519775,8.759540044775747E-16
bio8,-70.34205856323243,9.66929842534608E-16
bio8,-70.21841561126709,1.0785944168079799E-15
bio8,-70.09477265930175,1.190258991081352E-15
bio8,-69.97112970733643,1.3272286495386599E-15
bio8,-69.8474867553711,1.4641983079959838E-15
bio8,-69.72384380340576,1.632094461779941E-15
bio8,-69.60020085144043,1.7999906155638787E-15
bio8,-69.4765578994751,2.0056646687192093E-15
bio8,-69.35291494750976,2.211338721874539E-15
bio8,-69.22927199554444,2.463105692484875E-15
bio8,-69.1056290435791,2.7148726630952403E-15
bio8,-68.98198609161378,3.022863409125218E-15
bio8,-68.85834313964844,3.3308541551552318E-15
bio8,-68.7347001876831,3.707383244322713E-15
bio8,-68.61105723571777,4.083912333490195E-15
bio8,-68.48741428375244,4.543893792355956E-15
bio8,-68.3637713317871,5.00387525122177E-15
bio8,-68.24012837982178,5.5654417289329004E-15
bio8,-68.11648542785645,6.127008206644095E-15
bio8,-67.99284247589111,6.8121329650180554E-15
bio8,-67.86919952392579,7.49725772339194E-15
bio8,-67.74555657196045,8.332591410206446E-15
bio8,-67.62191361999511,9.167925097020954E-15
bio8,-67.49827066802979,1.018565103490333E-14
bio8,-67.37462771606445,1.1203376972785826E-14
bio8,-67.25098476409912,1.244251921670991E-14
bio8,-67.12734181213379,1.3681661460633852E-14
bio8,-67.00369886016846,1.518937413151368E-14
bio8,-66.88005590820313,1.6697086802393336E-14
bio8,-66.7564129562378,1.853040673813248E-14
bio8,-66.63277000427246,2.0363726673871623E-14
bio8,-66.50912705230712,2.2591330613494474E-14
bio8,-66.3854841003418,2.4818934553117067E-14
bio8,-66.26184114837646,2.7523872406649403E-14
bio8,-66.13819819641114,3.022881026018142E-14
bio8,-66.0145552444458,3.3511150488747314E-14
bio8,-65.89091229248046,3.67934907173132E-14
bio8,-65.76726934051514,4.077393784882195E-14
bio8,-65.6436263885498,4.4754384980331146E-14
bio8,-65.51998343658447,4.957786221115265E-14
bio8,-65.39634048461915,5.4401339441973615E-14
bio8,-65.27269753265381,6.024261982111551E-14
bio8,-65.14905458068847,6.60839002002574E-14
bio8,-65.02541162872315,7.31529821727143E-14
bio8,-64.90176867675781,8.022206414517198E-14
bio8,-64.77812572479249,8.877154175451301E-14
bio8,-64.65448277282715,9.732101936385503E-14
bio8,-64.53083982086181,1.076533068812511E-13
bio8,-64.40719686889648,1.1798559439864714E-13
bio8,-64.28355391693115,1.3046438547099552E-13
bio8,-64.15991096496582,1.4294317654334536E-13
bio8,-64.0362680130005,1.580044872160471E-13
bio8,-63.91262506103516,1.730657978887506E-13
bio8,-63.78898210906982,1.9123127783750035E-13
bio8,-63.66533915710449,2.0939675778624905E-13
bio8,-63.54169620513916,2.31292081902958E-13
bio8,-63.418053253173824,2.5318740601966824E-13
bio8,-63.294410301208494,2.795597793815186E-13
bio8,-63.170767349243164,3.05932152743369E-13
