variable,x,y
bio8,-76.52420616149902,1.0408749565104898E-12
bio8,-76.40056320953369,1.1268912178343484E-12
bio8,-76.27692025756836,1.2129074791581968E-12
bio8,-76.15327730560303,1.3128259486537654E-12
bio8,-76.02963435363769,1.412744418149334E-12
bio8,-75.90599140167237,1.5287633672774612E-12
bio8,-75.78234844970703,1.6447823164056018E-12
bio8,-75.65870549774169,1.7794357351183013E-12
bio8,-75.53506254577637,1.9140891538309855E-12
bio8,-75.41141959381103,2.0703052638147603E-12
bio8,-75.28777664184571,2.226521373798517E-12
bio8,-75.16413368988037,2.4076607501190194E-12
bio8,-75.04049073791504,2.5888001264395218E-12
bio8,-74.91684778594971,2.7987511312017893E-12
bio8,-74.79320483398438,3.0087021359640806E-12
bio8,-74.66956188201904,3.2519385367107747E-12
bio8,-74.54591893005372,3.495174937457441E-12
bio8,-74.42227597808838,3.776857028383388E-12
bio8,-74.29863302612304,4.058539119309335E-12
bio8,-74.17499007415772,4.384577210057007E-12
bio8,-74.05134712219238,4.710615300804717E-12
bio8,-73.92770417022705,5.087836087396299E-12
bio8,-73.80406121826172,5.465056873987838E-12
bio8,-73.68041826629639,5.9012998012701E-12
bio8,-73.55677531433105,6.337542728552361E-12
bio8,-73.43313236236573,6.8418338132399784E-12
bio8,-73.30948941040039,7.346124897927655E-12
bio8,-73.18584645843507,7.928782023826959E-12
bio8,-73.06220350646973,8.511439149726328E-12
bio8,-72.93856055450439,9.184357797087852E-12
bio8,-72.81491760253907,9.857276444449297E-12
bio8,-72.69127465057373,1.0634092188801519E-11
bio8,-72.5676316986084,1.1410907933153743E-11
bio8,-72.44398874664307,1.2307290936258592E-11
bio8,-72.32034579467773,1.3203673939363548E-11
bio8,-72.1967028427124,1.4237500776208583E-11
bio8,-72.07305989074707,1.52713276130535E-11
bio8,-71.94941693878174,1.6463173720468384E-11
bio8,-71.8257739868164,1.7655019827883264E-11
bio8,-71.70213103485108,1.9028424074987496E-11
bio8,-71.57848808288574,2.0401828322091882E-11
bio8,-71.4548451309204,2.1983792566200967E-11
bio8,-71.33120217895508,2.3565756810309875E-11
bio8,-71.20755922698974,2.5387025593888193E-11
bio8,-71.08391627502442,2.7208294377466288E-11
bio8,-70.96027332305908,2.930418829708888E-11
bio8,-70.83663037109375,3.1400082216711477E-11
bio8,-70.71298741912842,3.381093608012511E-11
bio8,-70.58934446716309,3.6221789943539034E-11
bio8,-70.46570151519775,3.899378336020513E-11
bio8,-70.34205856323243,4.17657767768709E-11
bio8,-70.21841561126709,4.4951387264521816E-11
bio8,-70.09477265930175,4.8136997752172734E-11
bio8,-69.97112970733643,5.17964121422273E-11
bio8,-69.8474867553711,5.5455826532282274E-11
bio8,-69.72384380340576,5.965763625460791E-11
bio8,-69.60020085144043,6.385944597693305E-11
bio8,-69.4765578994751,6.868204797220652E-11
bio8,-69.35291494750976,7.350464996747998E-11
bio8,-69.22927199554444,7.903694628741519E-11
bio8,-69.1056290435791,8.4569242607351E-11
bio8,-68.98198609161378,9.091302459777842E-11
bio8,-68.85834313964844,9.72568065882066E-11
bio8,-68.7347001876831,1.0452808728173026E-10
bio8,-68.61105723571777,1.1179936797525395E-10
bio8,-68.48741428375244,1.2012951901355272E-10
bio8,-68.3637713317871,1.2845967005185245E-10
bio8,-68.24012837982178,1.3799891022842923E-10
bio8,-68.11648542785645,1.4753815040500706E-10
bio8,-67.99284247589111,1.584570847434652E-10
bio8,-67.86919952392579,1.6937601908192205E-10
bio8,-67.74555657196045,1.818690444125904E-10
bio8,-67.62191361999511,1.9436206974325876E-10
bio8,-67.49827066802979,2.0864882836962136E-10
bio8,-67.37462771606445,2.2293558699598564E-10
bio8,-67.25098476409912,2.3926682211115987E-10
bio8,-67.12734181213379,2.5559805722633216E-10
bio8,-67.00369886016846,2.742579995651179E-10
bio8,-66.88005590820313,2.9291794190390144E-10
bio8,-66.7564129562378,3.142298333187984E-10
bio8,-66.63277000427246,3.355417247336954E-10
bio8,-66.50912705230712,3.5987010754409424E-10
bio8,-66.3854841003418,3.841984903544903E-10
bio8,-66.26184114837646,4.119587294824894E-10
bio8,-66.13819819641114,4.3971896861048533E-10
bio8,-66.0145552444458,4.7138106157024E-10
bio8,-65.89091229248046,5.030431545299947E-10
bio8,-65.76726934051514,5.391406131107642E-10
bio8,-65.6436263885498,5.752380716915379E-10
bio8,-65.51998343658447,6.163713291790356E-10
bio8,-65.39634048461915,6.575045866665287E-10
bio8,-65.27269753265381,7.043566273774728E-10
bio8,-65.14905458068847,7.512086680884168E-10
bio8,-65.02541162872315,8.045508092296507E-10
bio8,-64.90176867675781,8.578929503708909E-10
bio8,-64.77812572479249,9.18599169230916E-10
bio8,-64.65448277282715,9.793053880909481E-10
bio8,-64.53083982086181,1.0483573012365327E-9
bio8,-64.40719686889648,1.1174092143821173E-9
bio8,-64.28355391693115,1.195921387494502E-9
bio8,-64.15991096496582,1.2744335606068956E-9
bio8,-64.0362680130005,1.3636638809211712E-9
bio8,-63.91262506103516,1.452894201235457E-9
bio8,-63.78898210906982,1.5542575215696876E-9
bio8,-63.66533915710449,1.655620841903913E-9
bio8,-63.54169620513916,1.770719378254913E-9
bio8,-63.418053253173824,1.8858179146059195E-9
bio8,-63.294410301208494,2.0164504520990826E-9
bio8,-63.170767349243164,2.1470829895922453E-9
bio8,-63.047124397277834,2.2952849072897048E-9
bio8,-62.923481445312504,2.443486824987164E-9
bio8,-62.79983849334717,2.611541021684175E-9
bio8,-62.67619554138184,2.7795952183811765E-9
bio8,-62.55255258941651,2.9700822659999305E-9
bio8,-62.42890963745117,3.160569313618696E-9
bio8,-62.30526668548584,3.376380916365159E-9
bio8,-62.18162373352051,3.592192519111622E-9
bio8,-62.05798078155517,3.836594300814064E-9
bio8,-61.93433782958984,4.08099608251649E-9
bio8,-61.81069487762451,4.357644538601887E-9
bio8,-61.687051925659176,4.6342929946873E-9
bio8,-61.563408973693846,4.947312964683931E-9
bio8,-61.439766021728516,5.260332934680561E-9
bio8,-61.31612306976318,5.614338339341166E-9
bio8,-61.19248011779785,5.9683437440017515E-9
bio8,-61.06883716583252,6.368535746353481E-9
bio8,-60.94519421386719,6.768727748705211E-9
bio8,-60.82155126190186,7.2209246276576454E-9
bio8,-60.69790830993652,7.673121506610105E-9
bio8,-60.57426535797119,8.183846976171567E-9
bio8,-60.45062240600586,8.694572445733026E-9
bio8,-60.326979454040526,9.271163294092443E-9
bio8,-60.203336502075196,9.847754142451825E-9
bio8,-60.079693550109866,1.0498396195173323E-8
bio8,-59.95605059814453,1.114903824789486E-8
bio8,-59.8324076461792,1.1882939680554182E-8
bio8,-59.70876469421387,1.2616841113213506E-8
bio8,-59.58512174224853,1.3444263984693844E-8
bio8,-59.4614787902832,1.4271686856174136E-8
bio8,-59.33783583831787,1.5204163383647285E-8
bio8,-59.214192886352535,1.6136639911120487E-8
bio8,-59.09054993438721,1.7187012672918407E-8
bio8,-58.966906982421875,1.8237385434716446E-8
bio8,-58.84326403045654,1.9420072020985295E-8
bio8,-58.719621078491215,2.0602758607254005E-8
bio8,-58.59597812652588,2.1933796855673505E-8
bio8,-58.47233517456055,2.326483510409293E-8
bio8,-58.34869222259522,2.4762217750073354E-8
bio8,-58.22504927062988,2.625960039605386E-8
bio8,-58.10140631866455,2.7943320356090573E-8
bio8,-57.97776336669922,2.9627040316127288E-8
bio8,-57.854120414733885,3.1519507564635444E-8
bio8,-57.730477462768555,3.341197481314349E-8
bio8,-57.606834510803225,3.553806678785007E-8
bio8,-57.48319155883789,3.766415876255678E-8
bio8,-57.35954860687256,4.0051733365069994E-8
bio8,-57.23590565490723,4.24393079675832E-8
bio8,-57.11226270294189,4.511926180204652E-8
bio8,-56.98861975097656,4.779921563650969E-8
bio8,-56.86497679901123,5.080612069934277E-8
bio8,-56.741333847045894,5.381302576217603E-8
bio8,-56.61769089508057,5.718517620761842E-8
bio8,-56.494047943115234,6.05573266530612E-8
bio8,-56.370404991149904,6.433754125351112E-8
bio8,-56.246762039184574,6.811775585396104E-8
bio8,-56.12311908721924,7.235342270482876E-8
bio8,-55.99947613525391,7.658908955569626E-8
bio8,-55.87583318328858,8.133313826368996E-8
bio8,-55.75219023132324,8.607718697168395E-8
bio8,-55.62854727935791,9.138813832232514E-8
bio8,-55.50490432739258,9.669908967296632E-8
bio8,-55.38126137542724,1.0264225631542013E-7
bio8,-55.25761842346191,1.085854229578736E-7
bio8,-55.13397547149658,1.1523294593054621E-7
bio8,-55.01033251953125,1.218804689032192E-7
bio8,-54.88668956756592,1.2931279126472466E-7
bio8,-54.76304661560059,1.3674511362623013E-7
bio8,-54.63940366363525,1.4505098365324881E-7
bio8,-54.51576071166993,1.5335685368026657E-7
bio8,-54.39211775970459,1.626351670407436E-7
bio8,-54.26847480773925,1.7191348040122064E-7
bio8,-54.14483185577393,1.8227323477196358E-7
bio8,-54.02118890380859,1.9263298914270773E-7
bio8,-53.89754595184326,2.0419552064475117E-7
bio8,-53.77390299987793,2.1575805214679462E-7
bio8,-53.650260047912596,2.2865698164345987E-7
bio8,-53.526617095947266,2.4155591114012433E-7
bio8,-53.402974143981936,2.5593984505128824E-7
bio8,-53.2793311920166,2.70323778962453E-7
bio8,-53.15568824005127,2.8635646394134346E-7
bio8,-53.03204528808594,3.0238914892023393E-7
bio8,-52.9084023361206,3.202514678069158E-7
bio8,-52.78475938415527,3.3811378669359666E-7
bio8,-52.66111643218994,3.5800648511886394E-7
bio8,-52.537473480224605,3.778991835441323E-7
bio8,-52.41383052825928,4.0004273857640164E-7
bio8,-52.290187576293945,4.221862936086736E-7
bio8,-52.16654462432861,4.468254102118794E-7
bio8,-52.042901672363286,4.7146452681508246E-7
bio8,-51.91925872039795,4.988677248082317E-7
bio8,-51.79561576843262,5.262709228013793E-7
bio8,-51.67197281646729,5.567359943592877E-7
bio8,-51.54832986450195,5.872010659171978E-7
bio8,-51.42468691253662,6.21054357791747E-7
bio8,-51.30104396057129,6.549076496662962E-7
bio8,-51.177401008605955,6.925108844151224E-7
bio8,-51.053758056640625,7.301141191639465E-7
bio8,-50.930115104675295,7.718633124067358E-7
bio8,-50.80647215270996,8.136125056495275E-7
bio8,-50.68282920074463,8.599461691707194E-7
bio8,-50.5591862487793,9.062798326919114E-7
bio8,-50.43554329681396,9.57677607109181E-7
bio8,-50.31190034484863,1.0090753815264474E-6
bio8,-50.1882573928833,1.0660679139854591E-6
bio8,-50.064614440917964,1.1230604464444737E-6
bio8,-49.94097148895264,1.1862275200787106E-6
bio8,-49.817328536987304,1.2493945937129547E-6
bio8,-49.693685585021974,1.3193773092022577E-6
bio8,-49.570042633056644,1.3893600246915605E-6
bio8,-49.44639968109131,1.466857947837396E-6
bio8,-49.32275672912598,1.5443558709832272E-6
bio8,-49.19911377716065,1.6301419567592266E-6
bio8,-49.07547082519531,1.7159280425352308E-6
bio8,-48.95182787322998,1.8108449768031166E-6
bio8,-48.82818492126465,1.9057619110710022E-6
bio8,-48.704541969299314,2.0107398780486206E-6
bio8,-48.580899017333984,2.1157178450262328E-6
bio8,-48.457256065368654,2.231770080186182E-6
bio8,-48.33361311340332,2.3478223153461374E-6
bio8,-48.20997016143799,2.4760662074865825E-6
bio8,-48.08632720947266,2.6043100996270273E-6
bio8,-47.96268425750732,2.745961796724047E-6
bio8,-47.839041305542,2.887613493821051E-6
bio8,-47.71539835357666,3.0440128984218774E-6
bio8,-47.59175540161132,3.200412303022704E-6
bio8,-47.468112449646,3.3730161169032062E-6
bio8,-47.34446949768066,3.545619930783728E-6
bio8,-47.22082654571533,3.736032193696337E-6
bio8,-47.09718359375,3.926444456608946E-6
bio8,-46.973540641784666,4.136406931293252E-6
bio8,-46.849897689819336,4.346369405977546E-6
bio8,-46.726254737854006,4.577798814317518E-6
bio8,-46.60261178588867,4.809228222657502E-6
bio8,-46.47896883392334,5.0642038593951E-6
bio8,-46.35532588195801,5.319179496132698E-6
bio8,-46.23168292999267,5.599987020593619E-6
bio8,-46.10803997802734,5.880794545054524E-6
bio8,-45.98439702606201,6.189911682552553E-6
bio8,-45.860754074096675,6.499028820050601E-6
bio8,-45.73711112213135,6.839176750489376E-6
bio8,-45.613468170166016,7.1793246809281895E-6
bio8,-45.48982521820068,7.553456321895989E-6
bio8,-45.366182266235356,7.927587962863747E-6
bio8,-45.24253931427002,8.338919895800611E-6
bio8,-45.11889636230469,8.750251828737455E-6
bio8,-44.99525341033936,9.20230776123575E-6
bio8,-44.87161045837402,9.654363693734069E-6
bio8,-44.74796750640869,1.0150952967080684E-5
bio8,-44.62432455444336,1.06475422404273E-5
bio8,-44.500681602478025,1.1192842503771077E-5
bio8,-44.377038650512695,1.1738142767114823E-5
bio8,-44.253395698547365,1.2336664267209569E-5
bio8,-44.12975274658203,1.2935185767304347E-5
bio8,-44.0061097946167,1.3591871022855529E-5
bio8,-43.88246684265137,1.424855627840671E-5
bio8,-43.75882389068604,1.4968738311349464E-5
bio8,-43.6351809387207,1.5688920344292255E-5
bio8,-43.51153798675537,1.6478436693478925E-5
bio8,-43.38789503479004,1.7267953042665594E-5
bio8,-43.264252082824704,1.81330950341785E-5
bio8,-43.140609130859374,1.8998237025691368E-5
bio8,-43.016966178894045,1.994589020157808E-5
bio8,-42.89332322692871,2.089354337746485E-5
bio8,-42.76968027496338,2.1931118900253566E-5
bio8,-42.64603732299805,2.296869442304228E-5
bio8,-42.52239437103272,2.4104294488491686E-5
bio8,-42.39875141906738,2.5239894553941156E-5
bio8,-42.27510846710205,2.6482235506719576E-5
bio8,-42.15146551513672,2.7724576459497996E-5
bio8,-42.027822563171384,2.9083179227740206E-5
bio8,-41.904179611206054,3.0441781995982355E-5
bio8,-41.780536659240724,3.19268800988759E-5
bio8,-41.656893707275394,3.3411978201769446E-5
bio8,-41.53325075531006,3.503473746455659E-5
bio8,-41.40960780334473,3.665749672734364E-5
bio8,-41.2859648513794,3.8429910353165966E-5
bio8,-41.16232189941406,4.020232397898838E-5
bio8,-41.03867894744873,4.213746924044415E-5
bio8,-40.9150359954834,4.407261450189992E-5
bio8,-40.79139304351806,4.6184519253067495E-5
bio8,-40.66775009155273,4.829642400423495E-5
bio8,-40.5441071395874,5.060037893684921E-5
bio8,-40.42046418762207,5.290433386946347E-5
bio8,-40.296821235656736,5.541672131705872E-5
bio8,-40.173178283691406,5.7929108764653846E-5
bio8,-40.04953533172608,6.0667772523004185E-5
bio8,-39.92589237976074,6.340643628135467E-5
bio8,-39.80224942779541,6.63904788865466E-5
bio8,-39.67860647583008,6.937452149173851E-5
bio8,-39.55496352386474,7.262473320892591E-5
bio8,-39.43132057189941,7.587494492611313E-5
bio8,-39.30767761993408,7.941355752123513E-5
bio8,-39.18403466796875,8.295217011635713E-5
bio8,-39.060391716003416,8.6803364749244E-5
bio8,-38.936748764038086,9.065455938213063E-5
