variable,x,y
bio9,-63.00938835144043,3.5181708563460957E-9
bio9,-62.90045565338134,3.741672524528075E-9
bio9,-62.791522955322264,3.965174192710041E-9
bio9,-62.68259025726318,4.216261900833089E-9
bio9,-62.5736575592041,4.46734960895612E-9
bio9,-62.464724861145015,4.749323781293308E-9
bio9,-62.35579216308594,5.031297953630477E-9
bio9,-62.24685946502685,5.347840829710286E-9
bio9,-62.13792676696777,5.664383705790074E-9
bio9,-62.02899406890869,6.019601660406739E-9
bio9,-61.92006137084961,6.374819615023383E-9
bio9,-61.811128672790524,6.773298325923722E-9
bio9,-61.702195974731445,7.171777036824034E-9
bio9,-61.59326327667236,7.618604033646066E-9
bio9,-61.48433057861328,8.065431030468071E-9
bio9,-61.375397880554196,8.566295977641499E-9
bio9,-61.26646518249512,9.067160924814897E-9
bio9,-61.15753248443603,9.628391956298407E-9
bio9,-61.048599786376954,1.018962298778188E-8
bio9,-60.93966708831787,1.0818263983095932E-8
bio9,-60.83073439025879,1.1446904978409943E-8
bio9,-60.721801692199705,1.2150793074700386E-8
bio9,-60.61286899414063,1.2854681170990783E-8
bio9,-60.50393629608154,1.36425336342075E-8
bio9,-60.39500359802246,1.443038609742417E-8
bio9,-60.28607089996338,1.5311893968245434E-8
bio9,-60.1771382019043,1.6193401839066646E-8
bio9,-60.06820550384521,1.717933655162769E-8
bio9,-59.95927280578613,1.8165271264188737E-8
bio9,-59.85034010772705,1.9267597814410686E-8
bio9,-59.741407409667964,2.0369924364632697E-8
bio9,-59.632474711608886,2.160195375711448E-8
bio9,-59.5235420135498,2.2833983149596337E-8
bio9,-59.41460931549072,2.4210424459832028E-8
bio9,-59.30567661743164,2.55868657700678E-8
bio9,-59.19674391937256,2.712410754942408E-8
bio9,-59.08781122131347,2.866134932878045E-8
bio9,-58.978878523254394,3.03775488526801E-8
bio9,-58.86994582519531,3.209374837657986E-8
bio9,-58.76101312713623,3.4009038027416004E-8
bio9,-58.652080429077145,3.592432767825227E-8
bio9,-58.54314773101807,3.806102163387414E-8
bio9,-58.43421503295898,4.019771558949614E-8
bio9,-58.3252823348999,4.258053674776461E-8
bio9,-58.21634963684082,4.496335790603323E-8
bio9,-58.10741693878174,4.7619692171603416E-8
bio9,-57.998484240722654,5.027602643717377E-8
bio9,-57.889551542663575,5.323618790832588E-8
bio9,-57.78061884460449,5.619634937947815E-8
bio9,-57.67168614654541,5.9493947346736414E-8
bio9,-57.562753448486326,6.279154531399489E-8
bio9,-57.45382075042724,6.646358128095675E-8
bio9,-57.34488805236816,7.013561724791839E-8
bio9,-57.235955354309084,7.422319156236133E-8
bio9,-57.12702265625,7.831076587680453E-8
bio9,-57.01808995819091,8.285924936769787E-8
bio9,-56.909157260131835,8.740773285859094E-8
bio9,-56.800224562072756,9.246726098838238E-8
bio9,-56.69129186401367,9.752678911817415E-8
bio9,-56.582359165954585,1.0315274198910446E-7
bio9,-56.47342646789551,1.0877869486003444E-7
bio9,-56.36449376983642,1.1503222110062513E-7
bio9,-56.25556107177734,1.2128574734121544E-7
bio9,-56.14662837371826,1.2823433392442095E-7
bio9,-56.03769567565918,1.3518292050762603E-7
bio9,-55.928762977600094,1.4290104053127384E-7
bio9,-55.819830279541016,1.506191605549212E-7
bio9,-55.71089758148193,1.591890987293068E-7
bio9,-55.60196488342285,1.6775903690369187E-7
bio9,-55.49303218536377,1.772710413114334E-7
bio9,-55.38409948730469,1.8678304571917437E-7
bio9,-55.2751667892456,1.9733705020341693E-7
bio9,-55.166234091186524,2.0789105468765888E-7
bio9,-55.05730139312744,2.1959699900153707E-7
bio9,-54.94836869506836,2.3130294331541458E-7
bio9,-54.839435997009275,2.442818886227997E-7
bio9,-54.7305032989502,2.572608339301841E-7
bio9,-54.62157060089111,2.716460603402471E-7
bio9,-54.512637902832026,2.860312867503101E-7
bio9,-54.40370520477295,3.019694479439172E-7
bio9,-54.29477250671387,3.1790760913752435E-7
bio9,-54.185839808654784,3.355600354193466E-7
bio9,-54.0769071105957,3.5321246170116895E-7
bio9,-53.96797441253662,3.7275654010682224E-7
bio9,-53.85904171447754,3.9230061851247553E-7
bio9,-53.750109016418456,4.139313485918006E-7
bio9,-53.64117631835937,4.3556207867112563E-7
bio9,-53.53224362030029,4.594941368840644E-7
bio9,-53.423310922241214,4.834261950970031E-7
bio9,-53.31437822418213,5.0989406852886E-7
bio9,-53.20544552612304,5.363619419607168E-7
bio9,-53.096512828063965,5.656244009777369E-7
bio9,-52.98758013000488,5.948868599947588E-7
bio9,-52.8786474319458,6.272274765906072E-7
bio9,-52.769714733886715,6.595680931864578E-7
bio9,-52.66078203582764,6.952979904828448E-7
bio9,-52.55184933776855,7.310278877792342E-7
bio9,-52.44291663970947,7.704882698189572E-7
bio9,-52.33398394165039,8.099486518586829E-7
bio9,-52.22505124359131,8.535136205467517E-7
bio9,-52.116118545532224,8.970785892348232E-7
bio9,-52.007185847473146,9.451580720076777E-7
bio9,-51.89825314941406,9.93237554780535E-7
bio9,-51.78932045135498,1.0462806663502617E-6
bio9,-51.680387753295896,1.0993237779199917E-6
bio9,-51.57145505523681,1.1578234103470937E-6
bio9,-51.46252235717773,1.2163230427741922E-6
bio9,-51.353589659118654,1.2808155716470516E-6
bio9,-51.24465696105957,1.3453081005199152E-6
bio9,-51.13572426300049,1.4163836389302608E-6
bio9,-51.026791564941405,1.487459177340611E-6
bio9,-50.91785886688233,1.5657622393305788E-6
bio9,-50.80892616882324,1.6440653013205519E-6
bio9,-50.699993470764156,1.7303005627855611E-6
bio9,-50.59106077270508,1.8165358242505647E-6
bio9,-50.482128074646,1.911473667615124E-6
bio9,-50.373195376586914,2.006411510979689E-6
bio9,-50.26426267852783,2.1108936455238625E-6
bio9,-50.15532998046875,2.2153757800680297E-6
bio9,-50.04639728240967,2.3303216237557894E-6
bio9,-49.937464584350586,2.4452674674435572E-6
bio9,-49.8285318862915,2.571680922969226E-6
bio9,-49.71959918823242,2.6980943784948864E-6
bio9,-49.61066649017334,2.8370710643876908E-6
bio9,-49.50173379211426,2.9760477502804862E-6
bio9,-49.39280109405517,3.1287861655293673E-6
bio9,-49.283868395996095,3.281524580778239E-6
bio9,-49.17493569793701,3.4493232795362917E-6
bio9,-49.06600299987793,3.6171219782943354E-6
bio9,-48.957070301818845,3.801405089376436E-6
bio9,-48.84813760375977,3.985688200458526E-6
bio9,-48.73920490570068,4.188005217820035E-6
bio9,-48.630272207641596,4.390322235181543E-6
bio9,-48.52133950958252,4.61236147835109E-6
bio9,-48.41240681152344,4.8344007215206375E-6
bio9,-48.303474113464354,5.0780005627970585E-6
bio9,-48.19454141540527,5.321600404073479E-6
bio9,-48.08560871734619,5.588762664388014E-6
bio9,-47.97667601928711,5.855924924702549E-6
